barcode,name,manufacturld,description,unitQty,Quantity,bIsWeighted,QtyInPackage,ItemPrice,AmountInStock
7290000604039,ביצים ארוזות M 12 יחידות,1058,ביצים M 12 יח',יחידה,1,0,0,10.4,5
7290000611150,לבבות עוף טרי תפ,834,לבבות עוף טרי,קילוגרמים,0,1,0,23.9,86
7290000611259,חזה חצוי  טרי תפ,834,חזה חצוי טרי,קילוגרמים,0,1,0,31.9,14
7290000611266,פילה עוף קפוא ארוז קג,834,פילה עוף קפוא,קילוגרמים,0,1,0,34.9,13
7290000611273,עוף טרי מוכשר תפ,834,עוף טרי שלם,קילוגרמים,0,1,0,14.9,22
7290000611471,שוקיים עוף טרי תפ,834,שוקיים ע.טרי,קילוגרמים,0,1,0,32.9,71
7290000611624,עוף טרי שלם תפ,834,עוף טרי שלם,קילוגרמים,0,1,0,14.9,90
7290000611808,כרעיים עוף טרי תפ,834,כרעיים עוף טרי,קילוגרמים,0,1,0,24.9,39
7290000631295,לבבות עוף טרי עטרה לקג,1012,לבבות עוף טרי,קילוגרמים,0,1,0,21.9,24
7290000632209,חזה עוף קפוא עטרה מחיר ל,96,חזה עוף קפוא,קילוגרמים,0,1,0,34.9,4
7290000632391,כרעיים עוף קפוא עטרה מחי,1012,כרעיים עוף קפוא,קילוגרמים,0,1,0,33.9,51
7290000632698,שוקיים עוף קפוא עטרה מחי,1012,שוקיים עוף קפוא,קילוגרמים,0,1,0,36.9,40
7290000644783,מנות פילה סלמון קפוא קג,1058,פילה סלמון מנות,קילוגרמים,0,1,0,79.9,48
7290000652832,נתחי סלמון קפוא ללא עור,167,נתחי סלמון קפוא,קילוגרמים,0,1,1,89.9,19
7290000652894,סטייק טונה קפוא קג,167,סטייק טונה קפוא,קילוגרמים,0,1,1,44.9,53
7290000654546,פילה אמנון קפוא 7-9 קג,167,פילה אמנון קפוא,קילוגרמים,0,1,1,32.9,9
7290000658926,פילה מרלוזה קפוא קג,1058,פילה מרלוזה קפוא,קילוגרמים,0,1,1,29.9,87
7290000659312,פילה סלמון ממותג קפוא קג,1058,פילה סלמון,קילוגרמים,0,1,0,69.9,10
7290000662213,נתח פילה סלמון קפוא קג,1058,נתח פילה סלמון,קילוגרמים,0,1,1,84.9,87
7290000679440,משחה לתינוק קמיל בלו,874,משחה לתינוק,גרמים,100,0,0,16,6
7290000688114,מי-עדן מים מינרלים 1.5 ל,692,מי עדן 1.5 ליטר,ליטרים,1.5,0,0,3.9,69
7290000688374,"מי עדן בייבי 250*6 מ""ל",667,מי עדן בייבי 6יח,ליטרים,1.5,0,0,15,29
7290000688381,מים מינרליים מי עדן500*6,667,מי עדן אישי 6 בק,ליטרים,3,0,0,12.9,38
7290000688503,מים מינרליים מי עדן750*6,667,"מי עדן 6*750 מ""ל",ליטרים,4.5,0,0,14.9,1
